Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /store-manager-api/users/[id],2178,435,820,783.041479892976,6.476923997979611,1874.0664790020674,12.804407713498623,18.22550627450347,3.640080454274109,820,980,1100,1100,1300,1400,1500,1600,1800,1900,1900
POST,POST /store-manager-api/users,2785,589,840,790.7026154430648,5.407147997175343,1930.0942800000485,26.020825852782764,23.304882908398607,4.928752615097586,840,1000,1100,1200,1400,1500,1600,1700,1900,1900,1900
,Aggregated,4963,1024,830,787.3405454797189,5.407147997175343,1930.0942800000485,20.220834172879307,41.53038918290208,8.568833069371696,830,1000,1100,1200,1300,1500,1600,1700,1900,1900,1900
