Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":196,""user_type_id"":2}')",1,2026-07-09T21:36:11Z,2026-07-09T21:36:11Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":104,""user_type_id"":1}')",1,2026-07-09T21:35:59Z,2026-07-09T21:35:59Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":194,""user_type_id"":2}')",1,2026-07-09T21:36:10Z,2026-07-09T21:36:10Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":169,""user_type_id"":2}')",1,2026-07-09T21:36:07Z,2026-07-09T21:36:07Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":30,""user_type_id"":3}')",1,2026-07-09T21:35:49Z,2026-07-09T21:35:49Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":35,""user_type_id"":3}')",1,2026-07-09T21:35:49Z,2026-07-09T21:35:49Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":211,""user_type_id"":2}')",1,2026-07-09T21:36:12Z,2026-07-09T21:36:12Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":102,""user_type_id"":3}')",1,2026-07-09T21:35:58Z,2026-07-09T21:35:58Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":210,""user_type_id"":2}')",1,2026-07-09T21:36:12Z,2026-07-09T21:36:12Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":199,""user_type_id"":3}')",1,2026-07-09T21:36:11Z,2026-07-09T21:36:11Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":193,""user_type_id"":3}')",1,2026-07-09T21:36:10Z,2026-07-09T21:36:10Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":168,""user_type_id"":3}')",1,2026-07-09T21:36:07Z,2026-07-09T21:36:07Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":128,""user_type_id"":3}')",1,2026-07-09T21:36:02Z,2026-07-09T21:36:02Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":198,""user_type_id"":1}')",1,2026-07-09T21:36:11Z,2026-07-09T21:36:11Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":38,""user_type_id"":3}')",1,2026-07-09T21:35:50Z,2026-07-09T21:35:50Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":138,""user_type_id"":2}')",1,2026-07-09T21:36:03Z,2026-07-09T21:36:03Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":177,""user_type_id"":2}')",1,2026-07-09T21:36:08Z,2026-07-09T21:36:08Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":64,""user_type_id"":2}')",1,2026-07-09T21:35:54Z,2026-07-09T21:35:54Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":99,""user_type_id"":1}')",1,2026-07-09T21:35:58Z,2026-07-09T21:35:58Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":86,""user_type_id"":3}')",1,2026-07-09T21:35:56Z,2026-07-09T21:35:56Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":39,""user_type_id"":3}')",1,2026-07-09T21:35:50Z,2026-07-09T21:35:50Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":20,""user_type_id"":2}')",1,2026-07-09T21:35:47Z,2026-07-09T21:35:47Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":181,""user_type_id"":1}')",1,2026-07-09T21:36:08Z,2026-07-09T21:36:08Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":218,""user_type_id"":3}')",1,2026-07-09T21:36:13Z,2026-07-09T21:36:13Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":203,""user_type_id"":3}')",1,2026-07-09T21:36:11Z,2026-07-09T21:36:11Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":192,""user_type_id"":1}')",1,2026-07-09T21:36:10Z,2026-07-09T21:36:10Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":153,""user_type_id"":2}')",1,2026-07-09T21:36:05Z,2026-07-09T21:36:05Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":116,""user_type_id"":2}')",1,2026-07-09T21:36:00Z,2026-07-09T21:36:00Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":150,""user_type_id"":3}')",1,2026-07-09T21:36:05Z,2026-07-09T21:36:05Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":164,""user_type_id"":1}')",1,2026-07-09T21:36:06Z,2026-07-09T21:36:06Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":152,""user_type_id"":3}')",1,2026-07-09T21:36:05Z,2026-07-09T21:36:05Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":84,""user_type_id"":2}')",1,2026-07-09T21:35:56Z,2026-07-09T21:35:56Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":186,""user_type_id"":3}')",1,2026-07-09T21:36:09Z,2026-07-09T21:36:09Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":163,""user_type_id"":3}')",1,2026-07-09T21:36:06Z,2026-07-09T21:36:06Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":72,""user_type_id"":1}')",1,2026-07-09T21:35:55Z,2026-07-09T21:35:55Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":123,""user_type_id"":3}')",1,2026-07-09T21:36:01Z,2026-07-09T21:36:01Z
