Method,Name,Error,Occurrences,First Seen,Last Seen
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8560: HTTP 500 - '),1,2026-07-10T00:00:14Z,2026-07-10T00:00:14Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8313: HTTP 500 - '),1,2026-07-10T00:00:00Z,2026-07-10T00:00:00Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7976: HTTP 500 - '),1,2026-07-09T23:59:43Z,2026-07-09T23:59:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8401: HTTP 500 - '),1,2026-07-10T00:00:05Z,2026-07-10T00:00:05Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8638: HTTP 500 - '),1,2026-07-10T00:00:18Z,2026-07-10T00:00:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7512: HTTP 500 - '),1,2026-07-09T23:59:18Z,2026-07-09T23:59:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8481: HTTP 500 - '),1,2026-07-10T00:00:09Z,2026-07-10T00:00:09Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8718: HTTP 500 - '),1,2026-07-10T00:00:23Z,2026-07-10T00:00:23Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7584: HTTP 500 - '),1,2026-07-09T23:59:23Z,2026-07-09T23:59:23Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7587: HTTP 500 - '),1,2026-07-09T23:59:23Z,2026-07-09T23:59:23Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9057: HTTP 500 - '),1,2026-07-10T00:00:43Z,2026-07-10T00:00:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7348: HTTP 500 - '),1,2026-07-09T23:59:10Z,2026-07-09T23:59:10Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7824: HTTP 500 - '),1,2026-07-09T23:59:35Z,2026-07-09T23:59:35Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8809: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7326: HTTP 500 - '),1,2026-07-09T23:59:09Z,2026-07-09T23:59:09Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9131: HTTP 500 - '),1,2026-07-10T00:00:47Z,2026-07-10T00:00:47Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7582: HTTP 500 - '),1,2026-07-09T23:59:23Z,2026-07-09T23:59:23Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7581: HTTP 500 - '),1,2026-07-09T23:59:22Z,2026-07-09T23:59:22Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8233: HTTP 500 - '),1,2026-07-09T23:59:56Z,2026-07-09T23:59:56Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9036: HTTP 500 - '),1,2026-07-10T00:00:42Z,2026-07-10T00:00:42Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7994: HTTP 500 - '),1,2026-07-09T23:59:43Z,2026-07-09T23:59:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7832: HTTP 500 - '),1,2026-07-09T23:59:36Z,2026-07-09T23:59:36Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8814: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8727: HTTP 500 - '),1,2026-07-10T00:00:24Z,2026-07-10T00:00:24Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7665: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8804: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8074: HTTP 500 - '),1,2026-07-09T23:59:48Z,2026-07-09T23:59:48Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8965: HTTP 500 - '),1,2026-07-10T00:00:36Z,2026-07-10T00:00:36Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7426: HTTP 500 - '),1,2026-07-09T23:59:14Z,2026-07-09T23:59:14Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8795: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9066: HTTP 500 - '),1,2026-07-10T00:00:43Z,2026-07-10T00:00:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7666: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8231: HTTP 500 - '),1,2026-07-09T23:59:56Z,2026-07-09T23:59:56Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7843: HTTP 500 - '),1,2026-07-09T23:59:36Z,2026-07-09T23:59:36Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7661: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8165: HTTP 500 - '),1,2026-07-09T23:59:52Z,2026-07-09T23:59:52Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7996: HTTP 500 - '),1,2026-07-09T23:59:44Z,2026-07-09T23:59:44Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8478: HTTP 500 - '),1,2026-07-10T00:00:09Z,2026-07-10T00:00:09Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9053: HTTP 500 - '),1,2026-07-10T00:00:43Z,2026-07-10T00:00:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7355: HTTP 500 - '),1,2026-07-09T23:59:10Z,2026-07-09T23:59:10Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9216: HTTP 500 - '),1,2026-07-10T00:00:53Z,2026-07-10T00:00:53Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7187: HTTP 500 - '),1,2026-07-09T23:59:01Z,2026-07-09T23:59:01Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9141: HTTP 500 - '),1,2026-07-10T00:00:48Z,2026-07-10T00:00:48Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8155: HTTP 500 - '),1,2026-07-09T23:59:51Z,2026-07-09T23:59:51Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7496: HTTP 500 - '),1,2026-07-09T23:59:18Z,2026-07-09T23:59:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7982: HTTP 500 - '),1,2026-07-09T23:59:43Z,2026-07-09T23:59:43Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7660: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8652: HTTP 500 - '),1,2026-07-10T00:00:18Z,2026-07-10T00:00:18Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7257: HTTP 500 - '),1,2026-07-09T23:59:06Z,2026-07-09T23:59:06Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7336: HTTP 500 - '),1,2026-07-09T23:59:10Z,2026-07-09T23:59:10Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7681: HTTP 500 - '),1,2026-07-09T23:59:27Z,2026-07-09T23:59:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=9147: HTTP 500 - '),1,2026-07-10T00:00:48Z,2026-07-10T00:00:48Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8812: HTTP 500 - '),1,2026-07-10T00:00:27Z,2026-07-10T00:00:27Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=7346: HTTP 500 - '),1,2026-07-09T23:59:10Z,2026-07-09T23:59:10Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8399: HTTP 500 - '),1,2026-07-10T00:00:05Z,2026-07-10T00:00:05Z
DELETE,DELETE /store-manager-api/users/[id],CatchResponseError('Suppression échouée pour user_id=8403: HTTP 500 - '),1,2026-07-10T00:00:05Z,2026-07-10T00:00:05Z
