Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /store-manager-api/users/[id],2198,0,130,166.4027766241686,28.39703800054849,777.7253690001089,16.0,18.496205471951367,0.0,130,180,220,250,330,410,500,540,700,780,780
POST,POST /store-manager-api/users,2203,0,140,173.9084822373994,27.723273997253273,752.9857150002499,33.0,18.538280552642792,0.0,140,190,240,260,340,420,500,550,710,750,750
,Aggregated,4401,0,140,170.15989306723753,27.723273997253273,777.7253690001089,24.509656896159964,37.03448602459416,0.0,140,190,230,260,340,410,500,540,710,780,780
