Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /store-manager-api/users,4965,4965,580,576.4578813589117,5.229287999100052,1686.5651329990214,29.34783484390735,41.49306827484397,41.49306827484397,580,720,800,850,980,1100,1300,1400,1600,1700,1700
,Aggregated,4965,4965,580,576.4578813589117,5.229287999100052,1686.5651329990214,29.34783484390735,41.49306827484397,41.49306827484397,580,720,800,850,980,1100,1300,1400,1600,1700,1700
