Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":699,""user_type_id"":1}')",1,2026-07-09T21:37:06Z,2026-07-09T21:37:06Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":2126,""user_type_id"":1}')",1,2026-07-09T21:37:43Z,2026-07-09T21:37:43Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":2494,""user_type_id"":1}')",1,2026-07-09T21:37:52Z,2026-07-09T21:37:52Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":564,""user_type_id"":2}')",1,2026-07-09T21:37:03Z,2026-07-09T21:37:03Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":1950,""user_type_id"":1}')",1,2026-07-09T21:37:37Z,2026-07-09T21:37:37Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":3008,""user_type_id"":2}')",1,2026-07-09T21:38:07Z,2026-07-09T21:38:07Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":568,""user_type_id"":2}')",1,2026-07-09T21:37:03Z,2026-07-09T21:37:03Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":2264,""user_type_id"":2}')",1,2026-07-09T21:37:46Z,2026-07-09T21:37:46Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":3746,""user_type_id"":3}')",1,2026-07-09T21:38:29Z,2026-07-09T21:38:29Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":2559,""user_type_id"":3}')",1,2026-07-09T21:37:54Z,2026-07-09T21:37:54Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":4533,""user_type_id"":1}')",1,2026-07-09T21:38:49Z,2026-07-09T21:38:49Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":3434,""user_type_id"":1}')",1,2026-07-09T21:38:20Z,2026-07-09T21:38:20Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":378,""user_type_id"":3}')",1,2026-07-09T21:36:58Z,2026-07-09T21:36:58Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":1253,""user_type_id"":3}')",1,2026-07-09T21:37:20Z,2026-07-09T21:37:20Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":1561,""user_type_id"":3}')",1,2026-07-09T21:37:28Z,2026-07-09T21:37:28Z
POST,POST /store-manager-api/users,"CatchResponseError('Création échouée: HTTP 200 - {""user_id"":2182,""user_type_id"":1}')",1,2026-07-09T21:37:44Z,2026-07-09T21:37:44Z
